avg_scores,win_rate,level_type,avg_train_time,total_train_time
2977.56,0.96,generated,9.982200002670288,49.91100001335144
3084.6,0.98,generated,9.37920002937317,46.896000146865845
2881.58,0.98,generated,10.837599992752075,54.187999963760376
3118.56,0.96,generated,9.225199985504151,46.12599992752075
3096.84,0.98,generated,9.59539999961853,47.97699999809265
3139.84,0.96,generated,9.806199979782104,49.03099989891052
3003.64,0.98,generated,10.74379997253418,53.7189998626709
3179.9,0.98,generated,9.627399969100953,48.13699984550476
3082.0,1.0,generated,9.074000024795533,45.37000012397766
2931.3,0.98,generated,21.857600021362305,109.28800010681152
378.0,1.0,human,4.091199970245361,20.455999851226807
970.8,0.9,human,1.0926000118255614,5.463000059127808
1192.12,0.9,human,0.7980000019073487,3.990000009536743
1250.76,1.0,human,2.0039999961853026,10.019999980926514
2146.9,0.82,human,6.653399991989136,33.26699995994568
2403.38,0.96,human,7.817000007629394,39.08500003814697
2384.1,0.96,human,7.194799995422363,35.973999977111816
2408.16,0.96,human,9.210599994659423,46.05299997329712
2451.64,0.98,human,8.123799991607665,40.61899995803833
2374.66,0.96,human,7.594599962234497,37.972999811172485210.0,1.0,generated
204.0,1.0,generated
293.0,1.0,generated
237.0,1.0,generated
334.0,1.0,generated
262.0,1.0,generated
297.0,1.0,generated
331.0,1.0,generated
334.0,1.0,generated
177.0,1.0,generated
353.0,1.0,generated
287.0,1.0,generated
343.0,1.0,generated
317.0,1.0,generated
314.0,1.0,generated
313.0,1.0,generated
305.0,1.0,generated
309.0,1.0,generated
148.0,1.0,generated
306.0,1.0,generated
210.0,1.0,generated
204.0,1.0,generated
293.0,1.0,generated
237.0,1.0,generated
334.0,1.0,generated
262.0,1.0,generated
297.0,1.0,generated
331.0,1.0,generated
334.0,1.0,generated
177.0,1.0,generated
353.0,1.0,generated
287.0,1.0,generated
343.0,1.0,generated
317.0,1.0,generated
314.0,1.0,generated
313.0,1.0,generated
305.0,1.0,generated
309.0,1.0,generated
148.0,1.0,generated
306.0,1.0,generated
210.0,1.0,generated
204.0,1.0,generated
293.0,1.0,generated
237.0,1.0,generated
334.0,1.0,generated
262.0,1.0,generated
297.0,1.0,generated
331.0,1.0,generated
334.0,1.0,generated
177.0,1.0,generated
353.0,1.0,generated
287.0,1.0,generated
343.0,1.0,generated
317.0,1.0,generated
314.0,1.0,generated
313.0,1.0,generated
305.0,1.0,generated
309.0,1.0,generated
148.0,1.0,generated
306.0,1.0,generated
210.0,1.0,generated
204.0,1.0,generated
293.0,1.0,generated
237.0,1.0,generated
334.0,1.0,generated
262.0,1.0,generated
297.0,1.0,generated
331.0,1.0,generated
334.0,1.0,generated
177.0,1.0,generated
353.0,1.0,generated
287.0,1.0,generated
343.0,1.0,generated
317.0,1.0,generated
314.0,1.0,generated
313.0,1.0,generated
305.0,1.0,generated
309.0,1.0,generated
148.0,1.0,generated
306.0,1.0,generated
